date,tmin,tmax,prcp,snow,station_count,freeze_flag,freeze_thaw_flag,temp_range,temp_drop,rolling_min_3
2014-01-01,23.0,43.0,0.0,0.0,25,1,1,20.0,,
2014-01-02,22.0,43.0,0.05652173913043478,0.6,23,1,1,21.0,-1.0,
2014-01-03,9.0,35.0,0.34500000000000003,3.8363636363636364,26,1,1,26.0,-13.0,18.0
2014-01-04,4.0,29.0,0.0016666666666666668,0.0,24,1,0,25.0,-5.0,11.666666666666666
2014-01-05,7.0,35.0,0.04428571428571428,0.0,21,1,1,28.0,3.0,6.666666666666667
2014-01-06,8.0,44.0,0.2604347826086957,0.0,26,1,1,36.0,1.0,6.333333333333333
2014-01-07,-1.0,40.0,0.0044,0.0,25,1,1,41.0,-9.0,4.666666666666667
2014-01-08,1.0,25.0,0.0,0.0,22,1,0,24.0,2.0,2.6666666666666665
2014-01-09,13.0,36.0,0.0,0.0,21,1,1,23.0,12.0,4.333333333333333
2014-01-10,25.0,35.0,0.1690909090909091,0.0,22,1,1,10.0,12.0,13.0
2014-01-11,32.0,50.0,0.6595238095238095,0.0,23,1,1,18.0,7.0,23.333333333333332
2014-01-12,35.0,52.0,0.518,0.0,27,0,0,17.0,3.0,30.666666666666668
2014-01-13,25.0,54.0,0.0004347826086956522,0.0,23,1,1,29.0,-10.0,30.666666666666668
2014-01-14,27.0,55.0,0.09153846153846154,0.0,27,1,1,28.0,2.0,29.0
2014-01-15,32.0,46.0,0.21851851851851853,0.0,28,1,1,14.0,5.0,28.0
2014-01-16,27.0,48.0,0.0015384615384615385,0.0,26,1,1,21.0,-5.0,28.666666666666668
2014-01-17,23.0,44.0,0.0,0.0,24,1,1,21.0,-4.0,27.333333333333332
2014-01-18,18.0,45.0,0.011153846153846153,0.10869565217391304,26,1,1,27.0,-5.0,22.666666666666668
2014-01-19,18.0,40.0,0.0,0.0,23,1,1,22.0,0.0,19.666666666666668
2014-01-20,24.0,49.0,0.0,0.0,22,1,1,25.0,6.0,20.0
2014-01-21,11.0,50.0,0.07541666666666667,1.056521739130435,24,1,1,39.0,-13.0,17.666666666666668
2014-01-22,0.0,12.0,0.33,5.404347826086957,27,1,0,12.0,-11.0,11.666666666666666
2014-01-23,1.0,31.0,0.0,0.3181818181818182,22,1,0,30.0,1.0,4.0
2014-01-24,4.0,22.0,0.0,0.0,20,1,0,18.0,3.0,1.6666666666666667
2014-01-25,8.0,29.0,0.0,0.0,24,1,0,21.0,4.0,4.333333333333333
2014-01-26,11.0,30.0,0.0004,0.016666666666666666,26,1,0,19.0,3.0,7.666666666666667
2014-01-27,15.0,40.0,0.0,0.0,24,1,1,25.0,4.0,11.333333333333334
2014-01-28,5.0,45.0,0.0017391304347826088,0.02608695652173913,23,1,1,40.0,-10.0,10.333333333333334
2014-01-29,4.0,28.0,0.022307692307692306,0.491304347826087,26,1,0,24.0,-1.0,8.0
2014-01-30,2.0,42.0,0.0,0.0,22,1,1,40.0,-2.0,3.6666666666666665
2014-01-31,5.0,47.0,0.0,0.0,24,1,1,42.0,3.0,3.6666666666666665
2014-02-01,24.0,46.0,0.0,0.0,25,1,1,22.0,19.0,10.333333333333334
2014-02-02,27.0,56.0,0.0,0.0,26,1,1,29.0,3.0,18.666666666666668
2014-02-03,29.0,56.0,0.8622727272727272,0.12999999999999998,22,1,1,27.0,2.0,26.666666666666668
2014-02-04,23.0,35.0,0.44090909090909086,0.0,24,1,1,12.0,-6.0,26.333333333333332
2014-02-05,24.0,35.0,0.54,0.0,20,1,1,11.0,1.0,25.333333333333332
2014-02-06,23.0,38.0,0.10947368421052632,0.0,25,1,1,15.0,-1.0,23.333333333333332
